;id;name
0;2758;Тбилиси
1;8;Майкоп
2;1180;Нерюнгри
3;1240;Новокузнецк
4;2;Санкт-Петербург
5;1;Москва
6;2061;Подольск (Московская область)
7;1545;Новочеркасск
8;2759;Ташкент
9;3695;Промышленная
10;98;Ульяновск
11;1399;Магнитогорск
12;160;Алматы
13;24;Волгоград
14;78;Самара
15;107;Чебоксары
16;47;Кемерово
17;58;Липецк
18;63;Саранск
19;41;Калининград
20;1512;Волжский (Волгоградская область)
21;49;Киров (Кировская область)
22;77;Рязань
23;29;Махачкала
24;1528;Урюпинск
25;23;Владимир
26;70;Оренбург
27;94;Турция
28;11;Барнаул
29;66;Нижний Новгород
30;32;Иваново (Ивановская область)
31;3;Екатеринбург
32;76;Ростов-на-Дону
33;53;Краснодар
34;4;Новосибирск
35;102;Хабаровск
36;104;Челябинск
37;159;Нур-Султан
38;236;Кипр
39;88;Казань
40;1220;Бийск
41;1236;Ленинск-Кузнецкий
42;72;Пермь
43;212;Тольятти
44;1930;Щекино
45;83;Смоленск
46;99;Уфа
47;1002;Минск
48;92;Тула
49;95;Тюмень
50;17;Белгород
51;35;Иркутск
52;96;Ижевск
53;1156;Зеленогорск (Красноярский край)
54;106;Чита
55;1595;Чапаевск
56;79;Саратов
57;1792;Калязин
58;54;Красноярск
59;1613;Энгельс
60;1720;Гусь-Хрустальный
61;84;Ставрополь
62;22;Владивосток
63;153;Атырау
64;71;Пенза
65;2377;Адлер
66;2041;Мытищи
67;1506;Ахтубинск
68;1441;Апшеронск
69;2094;Реутов
70;237;Сочи
71;15;Астрахань
72;90;Томск
73;1535;Волгодонск
74;55;Курган
75;1882;Железногорск (Курская область)
76;1641;Набережные Челны
77;87;Тамбов
78;13;Армения
79;1724;Ковров
80;2090;Королев
81;39;Нальчик
82;112;Ярославль
83;1616;Димитровград
84;1251;Калачинск
85;2448;Динская станица
86;131;Симферополь
87;64;Мурманск
88;1442;Армавир
89;2734;Иннополис
90;1003;Гомель
91;3818;Солнечный (Воронежская область)
92;2025;Домодедово
93;1366;Учалы
94;52;Кострома
95;44;Петропавловск-Камчатский
96;1126;Ангарск
97;1827;Шебекино
98;2239;Барановичи
99;1390;Златоуст
100;1248;Юрга
101;1990;Всеволожск
102;1235;Киселевск
103;19;Брянск
104;69;Орел
105;14;Архангельск
106;1231;Белово
107;4959;Кетово
108;214;Дудинка (Красноярский край)
109;26;Воронеж
110;1004;Могилев
111;1079;Кемь
112;1356;Ишимбай
113;1753;Череповец
114;75;Псков
115;25;Вологда
116;2088;Зеленоград
117;1993;Гатчина
118;2053;Одинцово
119;105;Грозный
120;2492;Баку
121;1457;Темрюк
122;61;Йошкар-Ола
123;89;Тверь
124;2035;Видное
125;4285;Саракташ
126;81;Южно-Сахалинск
127;67;Великий Новгород
128;1454;Новороссийск
129;1007;Брест
130;1362;Салават
131;1291;Нижний Тагил
132;1891;Грязи
133;2814;Батуми
134;2062;Пушкино (Московская область)
135;73;Петрозаводск
136;68;Омск
137;3769;Айхал
138;2089;Ивантеевка
139;2083;Щелково
140;1005;Витебск
141;1345;Тобольск
142;1432;Хасавюрт
143;46;Черкесск
144;4622;ВНИИССОК
145;2001;Ломоносов
146;1705;Касимов
147;42;Элиста
148;1599;Балаково
149;1937;Свободный
150;91;Кызыл
151;1895;Лебедянь
152;1352;Бирск
153;1411;Чебаркуль
154;1410;Усть-Катав
155;2040;Можайск
156;4348;Караваево
157;1364;Стерлитамак
158;1533;Батайск
159;187;Тараз
160;1587;Жигулевск
161;43;Калуга
162;1419;Новый Уренгой
163;103;Абакан
164;2092;Лобня
165;20;Улан-Удэ
166;147;Ханты-Мансийск
167;56;Курск
168;2077;Химки
169;130;Севастополь
170;1344;Ишим
171;51;Сыктывкар
172;2034;Красногорск
173;1711;Сасово
174;1017;Северодвинск
175;1444;Геленджик
176;82;Владикавказ
177;1550;Таганрог
178;2078;Чехов
179;12;Благовещенск (Амурская область)
180;246;Норильск
181;57;Латвия
182;1631;Бугульма
183;1571;Орск
184;2399;Забайкальск
185;154;Актобе
186;1914;Алексин
187;59;Литва
188;177;Караганда
189;2065;Раменское
190;1405;Сатка
191;172;Костанай
192;1919;Донской
193;1418;Надым
194;1516;Камышин
195;1149;Боготол
196;85;США
197;1709;Рыбное
198;1592;Отрадный (Самарская область)
199;2778;Самарканд
200;6332;Посёлок совхоза имени Ленина
201;1498;Пятигорск
202;1509;Нариманов
203;1319;Березники
204;1522;Николаевск
205;1552;Шахты
206;1243;Прокопьевск
207;1042;Воркута
208;1164;Сосновоборск
209;5049;Кишинёв
210;2120;Ялта
211;1802;Старица
212;2098;Электросталь
213;1378;Пыть-Ях
214;1400;Миасс
215;1814;Рыбинск
216;1682;Бор
217;6374;Софьино (Раменский район)
218;1728;Лакинск
219;1991;Выборг
220;2554;Колпино
221;4735;Тевриз
222;174;Кызылорда
223;1955;Находка
224;1493;Михайловск (Ставропольский край)
225;1374;Нефтеюганск
226;181;Павлодар
227;216;Агинское (Забайкальский АО)
228;1460;Туапсе
229;1647;Воткинск
230;2073;Серпухов
231;192;Туркестан
232;5457;Тайцы
233;80;Якутск
234;1691;Кстово
235;2075;Ступино
236;1361;Октябрьский (Республика Башкортостан)
237;1225;Новоалтайск
238;1420;Ноябрьск
239;1296;Первоуральск
240;2653;Каскелен
241;4869;Магистральный
242;2049;Голицыно
243;1594;Сызрань
244;1581;Нижний Ломов
245;5046;Черногория
246;1300;Североуральск
247;2760;Бишкек
248;1395;Копейск
249;2069;Сергиев Посад
250;1924;Новомосковск (Тульская область)
251;5083;Новый Уоян
252;2045;Ногинск
253;1360;Нефтекамск
254;194;Усть-Каменогорск
255;2059;Павловский Посад
256;4888;Хомутово (Иркутская область)
257;1415;Губкинский
258;247;Дзержинск (Нижегородская область)
259;4252;Большой Исток
260;2813;Кутаиси
261;1590;Новокуйбышевск
262;1130;Братск
263;2700;Бахчисарай
264;1006;Гродно
265;2022;Воскресенск
266;205;Шымкент
267;2023;Дмитров
268;2042;Апрелевка
269;2033;Коломна
270;1335;Соликамск
271;146;Сербия
272;1531;Азов
273;1871;Малоярославец
274;1135;Нижнеудинск
275;5605;Новый Хушет
276;1490;Кисловодск
277;1787;Бологое
278;4732;Таврическое
279;2822;Боржоми
280;1095;Новоржев
281;1485;Ессентуки
282;5166;Верхний Баскунчак
283;200;Болгария
284;1381;Сургут
