;id;name;area
0;2393;Программный Продукт, ИТ-компания;1
1;72977;БАРС Груп;88
2;3155;Бест, Торгово-производственная компания, Екатеринбург;3
3;675;КОРУС Консалтинг;2
4;1840010;филиал ФКУ Налог-Сервис ФНС России в Республике Татарстан;88
5;213397;МойОфис;1
6;41862;Контур;3
7;1080425;Челябинский государственный университет, ФГБОУ ВПО;104
8;4080;Axenix (ранее Accenture);1
9;3415;ИНФОРМЗАЩИТА;1
10;3251713;НПО Прибор;2045
11;154;Diasoft;1
12;2180;Ozon;1
13;538164;АКСИТЕХ;1
14;11685;Группа компаний ФЛЭШ;76
15;1749693;Ready for Sky;2
16;2888;DSSL;1
17;314182;Saber Interactive;2
18;4156;ОВ Сервис;2
19;4437201;DatsTeam;1
20;6027302;eLama;2
21;580086;Завод №9;3
22;2047;ТАБЛОДЖИКС;1
23;52729;Эксперт-Система;2
24;81599;Five9, Inc., СА;66
25;704903;Юг-Авто;53
26;935196;Концерн Созвездие;26
27;1732872;Дата Ист;4
28;36430;EПК Самара;78
29;756805;Godel Technologies Europe;1002
30;87261;ЭнергосбыТ Плюс;3
31;1709871;Завод кольцевых заготовок;68
32;2904953;ЧЕЛЯБИНСКИЙ ЗАВОД ТЕХНОЛОГИЧЕСКОЙ ОСНАСТКИ ИМЕНИ ВИКТОРА ТИМОФЕЕВИЧА КУШИНА;104
33;1246145;Реском-Тюмень;95
34;12878;МФИ Софт;66
35;119069;АО ЗАСЛОН;2
36;118425;Центр Автоматизации Бизнеса Форвард;79
37;1858119;Innowise Group / Фабрика инноваций и решений;1005
38;3981703;СофтКорп;1002
39;3113286;Wowmaking;1002
40;672459;ТАТТЕЛЕКОМ;88
41;4181;Банк ВТБ (ПАО);1
42;8045;Ostec;1
43;3731049;Арктик СПГ 2;1
44;2168579;СТЭП ЛОДЖИК (STEP LOGIC);1
45;2748;Ростелеком;1
46;602711;Омега Технологии будущего;2
47;562662;Uniteller;113
48;227613;Смарт Телеком;2
49;1749095;BelkaCar;1
50;856498;Lesta Games;2
51;2801530;Joom;1
52;2865585;АЗИЯ ТРЕЙД;35
53;50355;Бигам, компания;112
54;2519536;Специальный Технологический Центр (ООО СТЦ);2
55;2464559;Автомобильный Центр на Маневровой;3
