;employer_id;industry_id
0;2393;7.540
1;2393;7.539
2;72977;7.540
3;72977;7.539
4;3155;27.550
5;3155;27.551
6;3155;13.664
7;3155;5.466
8;675;7.540
9;213397;7.540
10;213397;7.539
11;41862;7.540
12;41862;7.539
13;1080425;39.442
14;4080;44.393
15;4080;7.540
16;4080;7.539
17;3415;7.540
18;3415;7.539
19;154;7.540
20;154;7.539
21;2180;5.467
22;2180;5.466
23;2180;41.525
24;2180;49.412
25;538164;8.485
26;538164;8.484
27;538164;388.500
28;538164;7.539
29;538164;13.655
30;11685;29.533
31;11685;47.615
32;11685;389.530
33;11685;50.527
34;1749693;7.540
35;2888;8.486
36;2888;8.484
37;2888;7.540
38;2888;7.539
39;314182;7.541
40;314182;7.540
41;4156;7.540
42;6027302;7.541
43;6027302;7.540
44;580086;33.440
45;2047;5.462
46;2047;5.466
47;2047;5.465
48;2047;5.464
49;2047;5.463
50;52729;7.539
51;81599;7.540
52;704903;15.548
53;704903;15.547
54;704903;15.544
55;935196;8.484
56;1732872;7.540
57;36430;33.428
58;36430;24.639
59;756805;7.539
60;87261;46.474
61;87261;46.473
62;87261;46.476
63;1709871;24.633
64;1709871;24.640
65;1709871;24.639
66;1246145;13.662
67;1246145;5.464
68;12878;7.540
69;119069;8.484
70;119069;33.440
71;119069;33.428
72;118425;7.540
73;118425;7.539
74;1858119;7.540
75;1858119;7.539
76;3981703;7.540
77;3113286;7.540
78;672459;7.541
79;4181;43.648
80;4181;43.647
81;8045;8.486
82;8045;8.485
83;8045;8.483
84;8045;8.481
85;8045;46.477
86;2168579;7.539
87;2748;7.538
88;2748;9.401
89;2748;9.400
90;2748;9.399
91;602711;7.540
92;602711;7.539
93;562662;7.539
94;227613;7.541
95;856498;7.541
96;856498;7.540
97;2801530;7.541
98;2865585;27.581
99;2865585;27.551
100;2865585;27.555
101;50355;41.518
102;50355;41.525
103;2519536;8.485
104;2519536;8.484
105;2519536;7.540
106;2519536;9.402
107;2519536;9.400
108;2716012;7.540
109;204511;7.539
110;2057;42.599
111;5008916;11.457
112;5008916;11.459
113;5008916;7.541
114;5008916;7.540
115;158720;41.525
116;158720;41.513
117;197135;7.539
118;80;43.647
119;2097195;7.540
120;1654251;43.650
121;1654251;7.540
122;1654251;7.539
123;17675;43.646
124;1417124;7.540
125;1417124;7.539
126;11600;7.539
127;714248;7.541
128;714248;7.540
129;2977942;13.663
130;2977942;13.658
131;2977942;13.657
132;2977942;7.540
133;2977942;8.481
134;23326;48.681
135;23326;7.539
136;606755;5.464
137;826334;47.614
138;826334;47.612
139;826334;47.616
140;4947640;7.540
141;4947640;7.539
142;1809605;43.646
143;235806;41.522
144;235806;42.610
145;235806;42.609
146;869893;44.391
147;235209;15.542
148;235209;15.543
149;1407093;7.540
150;719330;33.440
151;719330;41.526
152;37290;7.540
153;37290;7.539
154;1059244;44.391
155;2622575;7.540
156;2622575;7.539
157;69961;7.540
158;69961;7.539
159;1680355;5.466
160;1680355;5.463
161;1680355;13.655
162;208576;7.541
163;208576;7.540
164;208576;7.539
165;53445;388.502
166;53445;388.499
167;53445;388.504
168;53445;24.640
169;53445;24.639
170;78638;43.643
171;78638;43.647
172;78638;7.541
173;78638;7.540
174;78638;7.539
175;763400;41.521
176;763400;41.525
177;763400;8.478
178;763400;8.480
179;1533615;8.486
180;1533615;8.483
181;231166;7.540
182;231166;7.539
183;43410;7.538
184;3177;7.539
185;798923;44.392
186;822512;51.668
187;233752;7.539
188;67611;7.540
189;745097;5.461
190;745650;11.460
191;2374897;44.392
192;1115346;44.393
193;1115346;7.540
194;1115346;7.539
195;2967332;7.541
196;2967332;7.539
197;140061;24.634
198;140061;24.640
199;140061;24.639
200;3596422;7.540
201;2971863;9.401
202;12550;13.661
203;12550;13.660
204;162879;8.483
205;162879;8.482
206;162879;8.481
207;162879;46.477
208;1755416;7.541
209;1755416;7.540
210;1755416;11.459
211;788350;44.393
212;788350;44.398
213;788350;43.641
214;97355;7.540
215;97355;7.539
216;2238;7.540
217;1063;42.600
218;1063;42.599
219;217737;7.540
220;151347;8.486
221;151347;8.484
222;3542906;7.541
223;35065;7.540
224;35065;7.539
225;8121;48.684
226;8121;48.683
227;1473866;8.485
228;1473866;43.647
229;1473866;7.539
230;5749;7.540
231;5749;7.539
232;5749;50.527
233;3127;7.540
234;3127;7.539
235;3127;9.400
236;3127;9.399
237;4917;7.539
238;135860;13.664
239;135860;389.530
240;135860;51.671
241;59;15.548
242;59;15.544
243;59;15.543
244;2808032;7.541
245;2808032;7.540
246;27346;44.393
247;27346;7.541
248;27346;7.539
249;1045513;13.659
250;1045513;13.663
251;1045513;44.395
252;1045513;24.639
253;599;43.647
254;817991;7.541
255;817991;49.412
256;29858;42.596
257;29858;42.595
258;29858;41.515
259;957760;42.607
260;823709;7.541
261;30319;44.393
262;30319;11.459
263;24946;8.486
264;24946;8.483
265;24946;8.478
266;24946;8.481
267;24946;29.531
268;145408;7.540
269;145408;7.539
270;3978;8.485
271;3978;8.484
272;478;19.622
273;478;19.621
274;478;19.620
275;478;19.623
276;73358;7.538
277;73358;7.539
278;1930012;388.508
279;676551;8.486
280;676551;8.483
281;676551;8.481
282;67228;47.614
283;67228;47.612
284;67228;47.616
285;22216;8.486
286;22216;8.484
287;22216;41.521
288;3529;43.647
289;5177357;7.541
290;5177357;7.540
291;601044;42.596
292;601044;41.515
293;176941;43.647
294;3432597;27.565
295;3432597;27.561
296;3432597;27.577
297;3432597;27.559
298;2266510;13.661
299;2266510;13.660
300;2266510;13.654
301;1102602;44.390
302;1102602;47.613
303;1102602;51.670
304;2159219;36.403
305;1740;7.541
306;2367681;44.390
307;2367681;7.540
308;206972;7.540
309;206972;7.539
310;47939;43.647
311;1320790;43.643
312;1320790;43.647
313;1320790;7.539
314;15307;8.483
315;15307;24.640
316;15307;24.639
317;7172;41.517
318;1596152;44.393
319;1596152;44.391
320;1596152;7.539
321;567576;48.676
322;567576;48.684
323;567576;48.683
324;1092837;7.540
325;1092837;7.539
326;4590;5.468
327;4590;5.462
328;4590;5.461
329;4590;5.466
330;4590;5.465
331;44272;7.538
332;44272;9.399
333;3605;11.454
334;3605;11.455
335;3605;36.403
336;3605;9.399
337;3443989;7.539
338;2222250;48.676
339;5390761;7.540
340;3207989;7.540
341;3207989;7.539
342;3207989;11.459
343;708605;48.676
344;708605;48.684
345;708605;48.683
346;2155808;11.453
347;2155808;11.456
348;2987;7.540
349;2987;7.539
350;230005;8.486
351;230005;8.484
352;230005;41.521
353;231369;7.541
354;231369;7.540
355;231369;7.539
356;665449;41.518
357;665449;42.599
358;567049;7.540
359;567049;7.539
360;780623;7.540
361;47479;9.399
362;51298;13.663
363;3735331;7.539
364;999378;39.441
365;999378;7.541
366;999378;11.459
367;986791;43.648
368;986791;7.541
369;986791;7.540
370;2635586;388.510
371;2635586;388.509
372;23040;43.646
373;23040;43.645
374;23040;43.650
375;23040;43.648
376;23040;43.647
377;11036;7.540
378;1457115;42.594
379;1457115;42.593
380;2346;5.461
381;759873;7.539
382;735907;388.501
383;735907;388.500
384;735907;388.499
385;2033;7.540
386;872053;15.546
387;872053;15.545
388;232718;7.541
389;1962813;15.546
390;1962813;15.545
391;906557;7.539
392;873710;42.595
393;873710;42.592
394;873710;41.526
395;82290;41.518
396;82290;42.598
397;82290;42.599
398;4193451;7.541
399;4193451;7.539
400;2163044;47.613
401;2163044;7.539
402;168307;7.539
403;1201;44.393
404;115;13.660
405;115;7.540
406;115;7.539
407;728292;7.540
408;728292;7.539
409;1425152;11.453
410;895945;36.403
411;27879;41.517
412;27879;50.528
413;159033;48.681
414;159033;48.680
415;1283;388.489
416;1283;388.487
417;1283;7.540
418;574804;7.540
419;574804;7.539
420;152781;388.500
421;152781;388.499
422;152781;46.471
423;152781;7.540
424;152781;8.482
425;346616;7.541
426;346616;7.540
427;541900;36.403
428;541900;39.441
429;99966;41.517
430;1025275;41.521
431;1025275;41.519
432;1025275;8.480
433;1025275;8.479
434;873395;33.428
435;65;5.465
436;918904;13.659
437;918904;51.668
438;1793216;7.540
439;46539;388.499
440;46539;388.508
441;46539;24.633
442;46539;33.440
443;46539;389.530
444;1384489;44.393
445;2638551;7.539
446;1671906;39.445
447;1671906;7.540
448;1671906;7.539
449;604936;27.581
450;604936;27.554
451;604936;27.555
452;604936;27.575
453;173163;15.548
454;173163;15.542
455;173163;15.545
456;173163;39.441
457;4915672;15.549
458;4915672;43.644
459;589007;8.486
460;589007;8.483
461;589007;8.481
462;589007;7.539
463;766249;7.540
464;4319336;7.539
465;1072794;19.625
466;1072794;19.624
467;2873;8.486
468;2873;8.484
469;2873;9.401
470;2873;9.400
471;2873;9.399
472;160748;7.540
473;4837179;7.539
474;890736;44.390
475;843587;29.533
476;843587;34.426
477;843587;42.605
478;843587;42.608
479;843587;42.607
480;1060266;7.540
481;1060266;7.539
482;4276064;43.648
483;4276064;7.540
484;673;41.518
485;673;41.517
486;673;41.515
487;673;41.521
488;673;41.513
489;8112;43.650
490;1116399;15.547
491;1116399;15.546
492;1116399;388.510
493;1116399;388.509
494;1116399;388.507
495;618199;9.401
496;618199;9.400
497;404;43.647
498;117243;44.393
499;117243;7.539
500;18384;41.517
501;2523;41.521
502;2523;41.525
503;2523;8.479
504;4526;7.540
505;4526;7.539
506;2223982;7.540
507;10627;8.484
508;10627;8.480
509;10627;7.541
510;10627;15.546
511;5600787;7.540
512;5600787;7.539
513;34746;388.490
514;34746;388.493
515;34746;7.540
516;34746;7.539
517;1307995;41.516
