;id;name
0;7.540;Разработка программного обеспечения
1;7.539;Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг
2;27.550;Безалкогольные напитки (производство)
3;27.551;Безалкогольные напитки (продвижение, оптовая торговля)
4;13.664;Управление и эксплуатация недвижимости
5;5.466;Складские услуги
6;39.442;Вуз, ссуз колледж, ПТУ
7;44.393;Консалтинговые услуги
8;5.467;Курьерская, почтовая доставка
9;41.525;Интернет-магазин
10;49.412;Туристические компании
11;8.485;Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (монтаж, сервис, ремонт)
12;8.484;Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (производство)
13;388.500;Оборудование и станки для добывающей, энергетической, нефтегазовой и химической отрасли  (монтаж, сервис, ремонт)
14;13.655;Строительство объектов нефтегазовой отрасли
15;29.533;Сельскохозяйственная продукция (продвижение, оптовая торговля)
16;47.615;ГСМ, топливо (продвижение, оптовая торговля)
17;389.530;Управляющая компания группы, холдинга, штаб-квартира
18;50.527;Гостиница
19;8.486;Электронно-вычислительная, оптическая, контрольно-измерительная техника, радиоэлектроника, автоматика (продвижение, оптовая торговля)
20;7.541;Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)
21;33.440;Производство и ремонт военной техники, оборудования и вооружения
22;5.462;Автомобильные перевозки
23;5.465;Транспортно-логистические комплексы, порты (воздушный, водный, железнодорожный)
24;5.464;Морские, речные перевозки
25;5.463;Железнодорожные перевозки
26;15.548;Техническое обслуживание, ремонт автомобилей
27;15.547;Автозапчасти, шины (розничная торговля)
28;15.544;Розничная торговля автомобилями (дилерский центр)
29;33.428;Авиационная, вертолетная, аэрокосмическая промышленность
30;24.639;Металлические изделия, металлоконструкции (производство)
31;46.474;Сбыт и потребление электроэнергии
32;46.473;Передача, распределение электроэнергии
33;46.476;Инфраструктурная компания в энергетике (СО ЕЭС, АТС, ЦФР и т.п.)
34;24.633;Черная металлургия (производство чугуна, стали, проката)
35;24.640;Металлические изделия, металлоконструкции (продвижение, оптовая торговля)
36;13.662;Строительство дорожное и инфраструктурное
37;43.648;Управляющая, инвестиционная компания (управление активами)
38;43.647;Банк
39;8.483;Промышленное, бытовое электрооборудование и электротехника (продвижение, оптовая торговля)
40;8.481;Промышленное, бытовое электрооборудование и электротехника (производство)
41;46.477;Консалтинг в области энергоэффективности
42;7.538;Интернет-провайдер
43;9.401;Оптоволоконная связь
44;9.400;Фиксированная связь
45;9.399;Мобильная связь
46;27.581;Снеки (продвижение, оптовая торговля)
47;27.555;Алкогольные напитки (продвижение, оптовая торговля)
48;41.518;Розничная сеть (DIY и товары для дома)
49;9.402;Спутниковая связь
50;42.599;Стройматериалы, сборные конструкции для ремонта и строительства (продвижение, оптовая торговля)
51;11.457;Продюсерский центр
52;11.459;Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок
53;41.513;Розничная сеть (мебель)
54;43.650;Финансово-кредитное посредничество (биржа, брокерская деятельность, выпуск и обслуживание карт, оценка рисков, обменные пункты, агентства по кредитованию, инкассация, ломбард, платежные системы)
55;43.646;Страхование, перестрахование
56;13.663;Архитектура, проектирование
57;13.658;Строительство энергетическое
58;13.657;Строительство объектов телекоммуникационной отрасли
59;48.681;Лечебно-профилактические учреждения
60;47.614;Нефтехимия (продвижение, оптовая торговля)
61;47.612;Нефтепереработка, нефтехимия (производство)
62;47.616;ГСМ, топливо (розничная торговля)
63;41.522;Розничная сеть (ювелирные изделия)
64;42.610;Ювелирные изделия, бижутерия  (продвижение, оптовая торговля)
65;42.609;Ювелирные изделия, бижутерия  (производство)
66;44.391;Кадровые агентства
67;15.542;Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (производство)
68;15.543;Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)
69;41.526;Несетевая розница, мелкий опт
70;388.502;Оборудование и станки для металлургии и металлообработки (производство)
71;388.499;Оборудование и станки для добывающей, энергетической, нефтегазовой и химической отрасли  (производство)
72;388.504;Оборудование и станки для металлургии и металлообработки (продвижение, оптовая торговля)
73;43.643;Коллекторская деятельность
74;41.521;Розничная сеть (электроника, бытовая техника)
75;8.478;Бытовая техника, электроника, климатическое оборудование (производство)
76;8.480;Бытовая техника, электроника, климатическое оборудование (продвижение, оптовая торговля)
77;44.392;Колл-центры, диспетчерские службы
78;51.668;Водоснабжение и канализация
79;5.461;Авиаперевозки
80;11.460;Производство печатной, полиграфической продукции
81;24.634;Продукция черной металлургии (продвижение, оптовая торговля)
82;13.661;Строительство жилищное
83;13.660;Строительство коммерческих объектов (торговые площади, офисные здания)
84;8.482;Промышленное, бытовое электрооборудование и электротехника (монтаж, сервис, ремонт)
85;44.398;Юридическое обслуживание
86;43.641;Аудит, управленческий учет, финансово-юридический консалтинг
87;42.600;Стройматериалы, сборные конструкции для ремонта и строительства (производство, монтаж, сервис, ремонт)
88;48.684;Фармацевтическая продукция (производство)
89;48.683;Фармацевтическая продукция (продвижение, оптовая торговля)
90;51.671;Благоустройство и уборка территорий и зданий
91;13.659;Строительство промышленное
92;44.395;Экологическое обслуживание, водоочистка, утилизация отходов
93;42.596;Одежда, обувь, аксессуары, текстиль  (продвижение, оптовая торговля)
94;42.595;Одежда, обувь, аксессуары, текстиль (производство)
95;41.515;Розничная сеть (одежда, обувь, аксессуары)
96;42.607;Товары для детей (производство)
97;29.531;Земледелие, растениеводство, животноводство
98;19.622;Столярно-строительные изделия (производство)
99;19.621;Продукция деревообработки (продвижение, оптовая торговля)
100;19.620;Деревообработка (производство)
101;19.623;Столярно-строительные изделия (продвижение, оптовая торговля)
102;388.508;Дорожно-строительная техника, сельскохозяйственная и другая спец.техника, оборудование, лифты, погрузочно-разгрузочное, складское оборудование (производство)
